ogc_fid,may_2022_crop_presence,jun_2022_crop_presence,jul_2022_crop_presence,aug_2022_crop_presence,sep_2022_crop_presence,oct_2022_crop_presence,nov_2022_crop_presence,dec_2022_crop_presence,jan_2023_crop_presence,feb_2023_crop_presence,mar_2023_crop_presence,apr_2023_crop_presence,label
1127,0.474325875,0.388779526,0.918674585,0.999654121,0.887241791,0.948489737,0.656155468,0.019231285,0.758125616,0.078170419,0.172608329,0.097342672,long_kharif
1153,0.043833771,0.078766607,0.999903453,0.999997099,0.999994655,0.999855275,0.654490657,0.663696924,0.439747105,0.026770476,0.162832473,0.187918022,long_kharif
1250,0.72963634,0.065482373,0.540233956,0.861804728,0.953579727,0.730125061,0.433585107,0.127623241,0.004135543,0.057996814,0.063124978,0.030007701,long_kharif
503,0.756945753,0.833498928,0.999786157,0.999998818,0.999992498,0.999987341,0.873881449,0.622475059,0.520252138,0.053682922,0.178203411,0.836836799,long_kharif
840,0.030684199,0.061736401,0.998081709,0.999989419,0.999958671,0.999496445,0.796161865,0.228664911,0.185315411,0.046344044,0.155004261,0.693130197,long_kharif
604,0.019112234,0.010367811,0.995779318,0.999989297,0.955361977,0.966255033,0.933014289,0.045091533,0.054155334,0.072282745,0.084534467,0.003398442,long_kharif
1851,0.62446737,0.637260721,0.948637327,0.991637697,0.849611827,0.904401776,0.544017767,0.914008728,0.510436812,0.188138857,0.10639686,0.37785119,long_kharif
1042,0.222023224,0.165642411,0.986358529,0.996856189,0.976922766,0.963063059,0.976127601,0.933340727,0.556547566,0.46792773,0.070019873,0.791389694,long_kharif
641,0.040205417,0.075586,0.999997449,0.999999824,0.999999954,0.999999657,0.698518729,0.137636546,0.818925224,0.000756774,0.698518729,0.898248329,long_kharif
650,0.357927712,0.029843279,0.998406335,0.999917297,0.999861306,0.9808402,0.534309894,0.698987042,0.961885166,0.014113656,0.751051959,0.97734482,long_kharif
831,0.121308499,0.008202525,0.033413314,0.999996498,0.999995402,0.999785974,0.992986491,0.619604583,0.774080554,0.305515065,0.29784346,0.99874495,long_kharif
649,0.075311768,0.154255593,0.999974162,0.999999972,0.999991894,0.999954248,0.512109811,0.558583352,0.276141605,0.016316916,0.999513232,0.999894813,long_kharif
1421,0.075586,0.818925224,0.998951883,0.999999824,0.999990282,0.984997129,0.898248329,0.999462766,0.237536793,0.237536793,0.984997129,0.378151139,long_kharif
1082,0.397023328,0.640881065,0.999943096,0.999999684,0.999999926,0.999984965,0.58603831,0.504780176,0.111753164,0.0258893,0.039593637,0.840459367,long_kharif
1649,0.327255133,0.529277191,0.999897771,0.999999741,0.999999674,0.999944535,0.909784432,0.964256414,0.803891348,0.082996526,0.258426544,0.631083839,long_kharif
1251,0.593814235,0.568464898,0.999916202,0.999972911,0.999999796,0.999965142,0.763007689,0.057329907,0.347756605,0.144954795,0.719991474,0.417532753,long_kharif
1340,0.053347648,0.10303233,0.985150274,0.999999444,0.999998899,0.999971049,0.790756666,0.639150433,0.57031168,0.17100441,0.356391984,0.854673318,long_kharif
521,0.653878074,0.594916635,1.91E-06,0.99999182,0.999999695,0.999998738,0.998973084,0.999999768,0.999198472,0.528992418,0.210321529,0.996765938,long_kharif
1702,0.09959335,0.655651094,0.81765711,0.999984095,0.999957998,0.999419078,0.400392158,0.503225342,0.999998599,0.984081148,0.999792787,0.908534242,long_kharif
985,0.003192139,0.005600944,0.999999642,0.999999871,0.999997702,0.979932697,0.94514992,0.719991474,0.106113897,0.04442324,0.049060925,0.211779166,long_kharif
1102,0.485319829,0.243450519,0.999998784,0.999999801,0.999999954,0.999999828,0.997565655,0.9996012,0.995475384,0.128992989,0.608156293,0.999884859,zaid
1655,0.037616981,0.13944397,0.99434982,0.999993915,0.999998892,0.999817594,0.51860975,0.097003044,0.091334143,0.076265561,0.911742728,0.726233501,zaid
721,0.988028728,0.105615738,0.995510638,0.997463927,0.993977701,0.999973721,0.985624433,0.999855766,0.999991789,0.010304291,0.998793514,0.999999728,zaid
1682,0.032801277,0.240736507,0.776915491,0.999999025,0.999976451,0.994406,0.854837705,0.760911531,0.064389958,0.053475699,0.997946369,1,zaid
576,0.822376257,0.909664895,0.999998097,0.999997081,0.999891937,0.999985173,0.980103613,0.999465905,0.015254521,0.010015687,0.965173706,0.999999836,zaid
1254,0.041752129,0.048974965,0.080057296,0.987958164,0.999920984,0.999713306,0.518317203,0.584737133,0.008760889,0.013670129,0.993701269,0.999999975,zaid
573,0.011975635,0.030022702,0.998896861,0.99996584,0.828386784,0.992425493,0.537469661,0.260002252,0.337042568,0.198598113,0.539942071,0.99369126,zaid
826,0.438476422,0.096356232,0.999881128,0.999998241,0.999999619,0.999975815,0.999154991,0.99977769,0.999181957,0.426646712,0.969431526,0.999991862,zaid
1055,0.895533972,0.220918553,0.999748544,0.999999663,0.999999398,0.999996419,0.541372524,0.804566909,0.026722704,0.006505146,0.636371677,0.999332531,zaid
579,0.362224124,0.178857404,0.99992262,0.999999947,0.99999996,0.999999962,0.998984853,0.998990465,0.91192544,0.127334758,0.811325981,0.999871497,zaid
1362,0.9342605,0.651912251,0.769205202,0.999960713,0.998682177,0.190406442,0.574612468,0.011691127,0.000472614,0.012759093,0.999874865,0.818867448,zaid
1744,0.425702368,0.734661562,0.993641344,0.999906949,0.997895423,0.992219593,0.83783605,0.283735894,0.03774,0.008458212,0.67007891,0.999832026,zaid
1632,0.704623848,0.45427901,0.999955767,0.999997399,0.999950508,0.999992121,0.998839568,0.983020367,0.989407451,0.013743149,0.999806884,0.999642615,zaid
1243,0.15047312,0.698518729,0.256914741,0.991913087,0.999858942,0.984997129,0.99565502,0.999994798,0.15047312,0.049060925,0.999955144,0.999999957,zaid
1568,0.157686208,0.136206071,0.031229749,0.999509486,0.961521107,0.881281783,0.583040929,0.47087162,0.012102474,0.040569135,0.941503236,0.999999866,zaid
1677,0.036811113,0.220694654,0.999988365,0.999999928,0.999999969,0.999999677,0.995758943,0.993797902,0.800530302,0.236962324,0.153351829,0.984854075,zaid
1688,0.872505519,0.685889386,0.99998661,0.999997703,0.996581457,0.999924563,0.999493187,0.999719573,0.225607125,0.006017956,0.89814146,0.999968723,zaid
755,0.0439724,0.237496477,0.02655593,0.209734803,0.016226145,0.036399852,0.036399852,0.023346999,0.030449517,0.024456636,0.009455052,0.404584365,no_crop
1858,0.02959694,0.252175549,6.10E-07,0.110110338,0.013226843,0.024380114,1.94E-06,0.003558734,0.028571029,0.023135936,0.040714932,0.06031024,no_crop
235,0.088860867,0.180701295,0.030268664,0.221220576,0.099510273,0.245012251,0.048135539,0.042867896,0.074397134,0.015071247,0.059726205,0.340464808,no_crop
163,0.015336595,0.269170123,9.82E-08,0.005449924,0.011949542,0.003144951,1.75E-05,0.00341992,0.003414396,0.003458765,0.00667319,0.049924572,no_crop
79,0.062316334,0.26830754,0.024236238,0.237081129,0.173290046,0.073048236,1.73E-05,0.027479336,0.011552009,0.006625784,0.083770427,0.228941632,no_crop
174,0.034185409,0.076406659,0.071790898,0.158768757,0.077655842,0.075487475,0.040195396,0.014593306,0.006671485,0.010431366,0.006482016,0.055637512,no_crop
319,0.18453141,0.031608732,0.03983621,0.049682331,0.782707009,0.001741028,0.015854464,0.004021867,0.082346259,0.02606075,0.031181463,0.74973522,no_crop
154,0.046831979,0.120727121,0.033138733,0.268725443,0.879812528,0.443133117,0.028298424,0.014407481,0.007790087,0.00321662,0.023711749,0.052613982,no_crop
759,0.019112234,0.100115948,0.146974632,0.093973319,0.033583312,0.018518326,0.033031738,0.093902447,0.072579388,0.013778363,0.18364375,0.075586,no_crop
1351,0.063025318,0.131970321,0.086934664,0.050532083,0.132838336,0.015589514,0.003535231,0.010263483,0.004750901,0.016344798,0.038028948,0.235447864,no_crop
47,0.013521797,0.062642363,0.161591101,0.288913668,0.031539401,0.27193575,0.0176705,0.219605992,0.000108721,0.002321182,0.004808043,0.002640484,no_crop
312,0.037061622,0.096396341,0.140785288,0.078549064,0.040108978,0.03807325,0.015725195,0.008183154,0.011819242,0.018870557,0.02396708,0.017677726,no_crop
1371,0.164148652,0.43720571,0.999996616,0.999999928,0.999999295,0.999598244,0.57951314,0.126015289,0.000720439,0.0075673,0.02357708,0.577526872,short_kharif
566,0.269837447,0.397404989,0.999999473,0.999999911,0.999999777,0.998535408,0.926810992,0.075558784,0.015360296,0.02935953,0.009272865,0.771684125,short_kharif
1524,0.336320725,0.540068707,0.999984307,0.999999952,0.999999709,0.999869845,0.49911761,0.174353871,0.006616232,0.015420118,0.04276158,0.401348634,short_kharif
1842,0.005647917,0.014432548,0.046431701,0.999576751,0.999998441,0.201277782,0.007583068,0.999418198,0.999987644,0.999993784,0.999996674,0.993266848,short_kharif
491,0.012214183,0.033262412,0.999537727,0.999994782,0.999999522,0.999980611,0.645494909,0.122100305,0.004775373,0.003563212,0.006734436,0.028858511,short_kharif
1674,0.008788399,0.021267218,0.251445111,0.956041962,0.999272397,0.997407899,0.686049654,0.137225043,0.036437241,0.047651576,0.042677678,0.051401288,short_kharif
385,0.046543578,0.035210284,0.999999589,0.999999683,0.999999898,0.999999603,0.942048354,0.001128958,0.00280954,0.013872943,0.029108128,0.137746563,short_kharif
773,0.013483024,0.048382841,0.999954911,0.999999874,0.999998074,0.999863344,0.533766526,0.094411751,0.248042033,0.059106315,0.514754561,0.994924305,short_kharif
1852,0.011652826,0.032287021,0.079247949,0.99998693,0.999994978,0.999562176,0.001739917,0.005906313,0.854012942,0.899014778,0.999999363,0.999999976,short_kharif
427,0.028330216,0.045426034,0.998550525,0.999999632,0.999999723,0.999976502,0.85507936,0.087900601,0.031538013,0.154326486,0.477571293,0.974095908,short_kharif
1361,0.569668945,0.054408606,0.999999727,0.99999995,0.999999759,0.999996285,0.40411986,0.004049257,0.005574314,0.128059958,0.168693946,0.096223158,short_kharif
1166,0.017749861,0.196736723,0.952652807,0.999678341,0.966191899,0.880021466,0.697880514,0.158537544,0.463513765,0.130176718,0.241809597,0.647339491,short_kharif
1712,0.056332285,0.197456152,0.50201785,0.999952723,0.999921786,0.999766892,0.516271328,0.299846112,0.210143363,0.079458872,0.258883216,0.323752365,short_kharif
422,0.062456422,0.019015945,0.999469157,0.999999778,0.999997457,0.999842359,0.745578503,0.337118646,0.001536205,0.001781997,0.032714302,0.371049299,short_kharif
668,0.378151139,0.698518729,0.999997449,0.999998693,0.999995021,0.378151139,0.818925224,0.00287727,0.075586,0.237536793,0.137636546,0.542751729,short_kharif
1771,0.021009522,0.137636546,0.999990282,0.999999976,0.99999991,0.999999331,0.542751729,0.237536793,0.378151139,0.137636546,0.075586,0.999462766,short_kharif
805,0.013753046,0.042207529,0.999957102,0.999999845,0.999998521,0.999942797,0.649593479,0.111570381,0.013977335,0.002152454,0.022436773,0.148940359,short_kharif
681,0.006032064,0.150165341,0.999998737,0.999999909,0.999999851,0.999998346,0.77900532,0.367165397,0.000454811,0.032418497,0.010907168,0.860324381,short_kharif
519,0.024022683,0.257853201,0.18359282,0.999999828,0.999999595,0.999987949,0.622142208,0.319881619,0.157565905,0.02934985,0.07186744,0.041819081,short_kharif
470,0.053631388,0.08324493,0.117585244,0.814884086,0.993826503,0.61760087,0.818896338,0.199375866,0.168616084,0.05575017,0.059681891,0.497746813,short_kharif
1846,0.022675481,0.05685032,0.058574199,0.999997816,0.999999864,0.183146083,0.006322513,0.011995598,0.999997356,0.820950583,0.999994128,0.988004779,short_kharif
389,0.009572122,0.015416555,0.999903496,0.999998918,0.999992146,0.997791169,0.496214443,0.078079488,0.001262873,0.019392455,0.114923082,0.358020022,short_kharif
388,0.582471397,0.727501674,0.879855558,0.99916843,0.997111123,0.795900306,0.583807545,0.019308082,0.022829288,0.070269009,0.662773153,0.998295038,short_kharif
1768,0.034432328,0.060413257,0.920278209,0.999994224,0.999996922,0.999517082,0.506858213,0.062651638,0.071634,0.054593824,0.362628527,0.849441512,short_kharif
925,0.032801277,0.027957535,0.999999982,0.999999997,0.999999998,0.999999549,0.960699955,0.005633688,0.004049257,0.007492218,0.037116197,0.254490926,short_kharif
